2023-10-04 16:38:40,956.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Today is 2023-10-04 at 04:38 PM
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Running on: nt Windows 10
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python version:  3.11.5
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Working dir: C:\Users\cori.tynes\Desktop\Documents_44671\MOD6\streaming-06-smart-smoker
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:44,826.CM_SMARTSMOKER_PROD.INFO Reading messages from smoker_temps_CM.csv...
2023-10-04 16:38:44,827.CM_SMARTSMOKER_PROD.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-04 16:40:04,277.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:39:10,No data received from row]'....
2023-10-04 16:40:04,288.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:39:10,No data received from row]'....
2023-10-04 16:40:06,298.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:39:15,115.5]'....
2023-10-04 16:40:06,313.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:39:15,No data received from row]'....
2023-10-04 16:40:06,322.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:39:15,No data received from row]'....
2023-10-04 16:40:08,333.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:40:10,112.6]'....
2023-10-04 16:40:08,346.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:40:10,No data received from row]'....
2023-10-04 16:40:08,358.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:40:10,No data received from row]'....
2023-10-04 16:40:10,368.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:40:15,112.6]'....
2023-10-04 16:40:10,387.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:40:15,No data received from row]'....
2023-10-04 16:40:10,399.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:40:15,No data received from row]'....
2023-10-04 16:40:12,409.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:41:10,118.8]'....
2023-10-04 16:40:12,422.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:41:10,No data received from row]'....
2023-10-04 16:40:12,430.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:41:10,No data received from row]'....
2023-10-04 16:40:14,442.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:41:15,118.8]'....
2023-10-04 16:40:14,461.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:41:15,No data received from row]'....
2023-10-04 16:40:14,471.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:41:15,No data received from row]'....
2023-10-04 16:40:16,482.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:42:10,113.2]'....
2023-10-04 16:40:16,497.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:42:10,No data received from row]'....
2023-10-04 16:40:16,507.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:42:10,No data received from row]'....
2023-10-04 16:40:18,516.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:42:15,113.2]'....
2023-10-04 16:40:18,532.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:42:15,No data received from row]'....
2023-10-04 16:40:18,543.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:42:15,No data received from row]'....
2023-10-04 16:40:20,554.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:43:10,126.7]'....
2023-10-04 16:40:20,569.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:43:10,No data received from row]'....
2023-10-04 16:40:20,578.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:43:10,No data received from row]'....
2023-10-04 16:40:22,593.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:43:15,126.7]'....
2023-10-04 16:40:22,607.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:43:15,No data received from row]'....
2023-10-04 16:40:22,617.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:43:15,No data received from row]'....
2023-10-04 16:40:24,630.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:44:10,130.0]'....
2023-10-04 16:40:24,643.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:44:10,No data received from row]'....
2023-10-04 16:40:24,654.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:44:10,No data received from row]'....
2023-10-04 16:40:26,664.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:44:15,130.0]'....
2023-10-04 16:40:26,679.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:44:15,No data received from row]'....
2023-10-04 16:40:26,689.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:44:15,No data received from row]'....
2023-10-04 16:40:28,701.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:45:10,130.0]'....
2023-10-04 16:40:28,714.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:45:10,No data received from row]'....
2023-10-04 16:40:28,724.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:45:10,No data received from row]'....
2023-10-04 16:40:30,735.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:45:15,130.0]'....
2023-10-04 16:40:30,750.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:45:15,No data received from row]'....
2023-10-04 16:40:30,761.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:45:15,No data received from row]'....
2023-10-04 16:40:32,771.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:46:10,137.3]'....
2023-10-04 16:40:32,786.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:46:10,No data received from row]'....
2023-10-04 16:40:32,798.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:46:10,No data received from row]'....
2023-10-04 16:40:34,808.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:46:15,137.3]'....
